algorithm,subsampling,feature_selection,imputation_num,imputation_cat,encoding,fold,auc,sen,spec,accu,gmean
LR,up,FFS,Drop,Mode,Label,1,0.615231145,0.541471049,0.63851788,0.626775232,0.587995702
LR,up,FFS,Drop,Drop,Label,1,0.623123168,0.579310345,0.610206513,0.606318348,0.594557773
LR,up,FFS,Median,Unknown,Label,1,0.611149837,0.54047619,0.629882687,0.617389376,0.583469446
LR,up,FFS,Median,Missing,Label,1,0.60218364,0.538888889,0.607322418,0.597759787,0.572083301
LR,up,FFS,Median,Mode,Label,1,0.600556129,0.530952381,0.61067423,0.599534213,0.569419824
LR,up,FFS,Median,Drop,Label,1,0.626774197,0.538767396,0.645823612,0.631338265,0.58987177
LR,up,FFS,Drop,Unknown,One-Hot,1,0.62789938,0.552425665,0.62473072,0.615981822,0.587466836
LR,up,FFS,Drop,Missing,One-Hot,1,0.62789938,0.552425665,0.62473072,0.615981822,0.587466836
LR,up,FFS,Drop,Mode,One-Hot,1,0.62789938,0.552425665,0.62473072,0.615981822,0.587466836
LR,up,FFS,Drop,Drop,One-Hot,1,0.603123716,0.508965517,0.627482129,0.612567263,0.565125443
LR,up,FFS,Median,Unknown,One-Hot,1,0.619834108,0.583333333,0.595075416,0.593434623,0.589175123
LR,up,FFS,Median,Missing,One-Hot,1,0.619834108,0.583333333,0.595075416,0.593434623,0.589175123
LR,up,FFS,Median,Mode,One-Hot,1,0.608430736,0.566666667,0.592368184,0.588776755,0.579374925
LR,up,FFS,Median,Drop,One-Hot,1,0.626774197,0.538767396,0.645823612,0.631338265,0.58987177
LR,up,LASSO,Drop,Unknown,Label,1,0.65333092,0.585289515,0.644765187,0.637568642,0.614307988
LR,up,LASSO,Drop,Missing,Label,1,0.652012414,0.594679186,0.636579061,0.631509184,0.615272556
LR,up,LASSO,Drop,Mode,Label,1,0.66520522,0.596244131,0.641749246,0.636243136,0.618578388
LR,up,LASSO,Drop,Drop,Label,1,0.640733751,0.573793103,0.623907863,0.617601111,0.598326022
LR,up,LASSO,Median,Unknown,Label,1,0.654665013,0.601587302,0.632718835,0.628368637,0.616956738
LR,up,LASSO,Median,Missing,Label,1,0.653728327,0.596031746,0.628206781,0.623710769,0.611907824
LR,up,LASSO,Median,Mode,Label,1,0.65665533,0.596825397,0.628077865,0.623710769,0.612252253
LR,up,LASSO,Median,Drop,Label,1,0.65567089,0.574552684,0.643023798,0.633759247,0.607824851
LR,up,LASSO,Drop,Unknown,One-Hot,1,0.660721088,0.594679186,0.641318397,0.635675062,0.617558663
LR,up,LASSO,Drop,Missing,One-Hot,1,0.657014036,0.58372457,0.62817751,0.622798712,0.605543266
LR,up,LASSO,Drop,Mode,One-Hot,1,0.657014036,0.58372457,0.62817751,0.622798712,0.605543266
LR,up,LASSO,Drop,Drop,One-Hot,1,0.643988935,0.572413793,0.618546465,0.612740844,0.595033216
LR,up,LASSO,Median,Unknown,One-Hot,1,0.665463248,0.61031746,0.638391131,0.634468227,0.624196486
LR,up,LASSO,Median,Missing,One-Hot,1,0.664687604,0.601587302,0.640195952,0.634800932,0.620591456
